Job Title,Company,Location,Experience,Posted,Description,Skills
MIS Executives,S2W Media,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-13 Yrs,3+ weeks ago,"Any Graduate with experience ofSQL, Google PLX, and Data StudioThorough understanding o...","Report generation, Lead generation, B2B, System maintenance, MIS, Analytical, Management, SQL"
Research Analyst,Crisil,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,2 weeks ago,Prior experience in equity research and data handling will be advantageous . Strong int...,"Excel, Bloomberg, Financial analysis, Equity research, Analytical, MS Office tools, M&A, Client relationship"
Research Analyst,CapeStart,Nagercoil,1-5 Yrs,2 weeks ago,"We are looking for smart, dynamic, self-motivated, and collaborative individuals with s...","analysts, business research, mortgage advisors, analytical, languages, reader, research analysis, market research"
Reporting Analyst,Jibe Development Services,Navi Mumbai,2-5 Yrs,2 weeks ago,We are looking for a candidate who can be the provide types of reports required for the...,"Reporting Analysis, Excellent Verbal And Written Communication Skills, Reporting Tools, Excel Reporting, Data Reporting, Reporting And Analytics, Reporting, Verbal communication"
Research Analyst,CC COMMODITY INFO SERVICES LLP.,"Mumbai, Delhi, Ahmedabad, Chennai",2-6 Yrs,3+ weeks ago,• • The job involves research and analysis of commodity markets spot and futures as wel...,"Commodity Markets, Tracking, Spot, Analytical, Marketing Research Analyst, Domestic, Commodities, Business management"
ESG Research Analyst,Solaron Sustainability,Bengaluru,2-6 Yrs,3 weeks ago,* . Post graduate from a premier institute with 1st class academics Experience in busin...,"Analytical skills, Industry research, Primary research, Academics, Sustainability, Writing, Journalism, Research Analyst"
Research Analyst,India Sme Forum Research And Development Group,"Mumbai(Andheri West), Delhi / NCR(Kalkaji)",0-2 Yrs,3 weeks ago,"Skills Required. Bachelors degree in Economics, Statistics, Market Research, Business, ...","Economic Analysis, Analytical Research, Market Research, Economics, Communication Skills, Business Research, Data Analysis, Marketing"
Revenue Reporting Analyst,Airtel,Gurugram,3-6 Yrs,3+ weeks ago,Role & responsibilities 1. Revenue Reporting Optimization Ensure accurate & timely mont...,"Revenue Reporting, Excel, Reporting And Analytics, Data Reporting, SQL, Revenue, Data, Analytics"
Research Analyst,CC COMMODITY INFO SERVICES LLP.,"Mumbai, Delhi, Chennai, Ahmedabad",2-6 Yrs,3+ weeks ago,Post graduate in Agricultural Economics/ Agri- Business Management with good writing an...,"domestic, markets, analytical, management, research analyst, futures, commodity markets, analysis"
MIS Executive required For Pharma Company,Linux Laboratories,Mumbai,3-6 Yrs,3 weeks ago,"Required skills. Strong experience in MS Excel, Word, Spreadsheet and Database Should b...","Analytical Skills, Data Analysis, Interpersonal Skills, Strategic Thinking, Problem Solving, Organization Skills, Analytical Skill, Data"
Global Services - Research Analyst,Plante Moran,Mumbai,2-6 Yrs,3+ weeks ago,"Bachelor s Degree in Economics, Statistics, Mathematics, Business Administration, or a ...","Wealth management, Quantitative research, Time management, Analytical, Consulting, Equity, Taxation, Research Analyst"
Research Analyst (MSI),Maruti True Value,Gurugram,1-5 Yrs,3+ weeks ago,"Monitoring competitor activities / initiatives, industry trends, and consumer . behavio...","Analytical skills, Statistical analysis, Primary research, Product service, Research, data visualization, Research Analyst, Secondary research"
Research Analyst,Axis Asset Management Company,Mumbai,3-6 Yrs,3+ weeks ago,. Should have ability to read and absorb acknowledged research papers and testing their...,"Industry research, Excel, Fund management, Chartered financial analyst, Analytical, Finance, Equity, Financial statement analysis"
Research Analyst,Nfaktor,Bengaluru,3-6 Yrs,3+ weeks ago,Relevant professional experience (maturity) and a graduate degreeGather required inform...,"Data analysis, Statistical analysis, Primary research, Analytical, Data collection, Market research, Business management, Research Analyst"
Research Analyst,Crisil,"Mumbai, Pune",1-3 Yrs,2 weeks ago,"The successful candidate should have experience in credit financial modeling, with a st...","financial analysis, data analysis, analytical, credit analysis, credit risk, bloomberg, verbal communication, research analysis"
ALM Analytics & Reporting - Analyst,Goldman Sachs,Bengaluru,2-7 Yrs,3+ weeks ago,We are looking for a professional who wants to use their skills and experience to help ...,"Asset liability management, Resource allocation, HTML, Investment banking, Investment management, Risk management, Portfolio management, Operations"
Research Analyst,Stats And Research,Pune,1-6 Yrs,3+ weeks ago,"Adequate knowledge of data collection methods (polls, focus groups, surveys etc) . Stro...","Web analytics, Business research, Competitive analysis, Analytical, Data collection, Market research, MS Office, Research analysis"
Research analyst,Crisil,"Mumbai, Pune",0-2 Yrs,2 weeks ago,Prior experience in guiding and mentoring junior team members will be advantageous . MS...,"SIDE, Corporate actions, Bloomberg, Equity research, Analytical, MS Office tools, Equity valuation, Fundamental research"
Research Analyst,Dagslore,Coimbatore,0-1 Yrs,3+ weeks ago,Dagslore Technology Solutions Research Analyst jobs coimbatore research analyst jobs ...,"Computer science, Mining, Cloud computing, VLSI, Analytical, Network security, Content writing, Product design"
Research Analyst,CC COMMODITY INFO SERVICES LLP.,Mumbai,2-7 Yrs,3+ weeks ago,Post graduate in Agricultural Economics/ Agri- Business Management with good writing an...,"Economics, Commodity Markets, agribusiness, Analytical, Business management, Research, Research Analyst, Commodity trading"
MIS Analyst,Techify,Ahmedabad,2-7 Yrs,3+ weeks ago,Qualifications: . Bachelors degree in a relevant field or equivalent practical experien...,"Data analysis, Automation, Product engineering, Excel, Networking, Analytical, Consulting, data visualization"
MIS Executive,TDF Diamonds &amp; Gold,Mumbai,1-4 Yrs,2 weeks ago,"As we continue to expand, we are seeking a passionate and experienced Candidate to not ...","data cleansing, MIS reporting, Senior management, Customer satisfaction, MIS, Analytical, Data mining, Operations"
"Analyst , Fundraising & Research",Assistech Foundation,Bengaluru,4-9 Yrs,3+ weeks ago,"Graduate / Postgraduate degree in Business, Public Policy, Economics, Social Sciences, ...","Analytical skills, Industry research, CSR, Manager Technology, UPS, Research, Fund raising, MS Office Word"
Research Analyst,CC COMMODITY INFO SERVICES LLP.,Mumbai,0-2 Yrs,3+ weeks ago,Post graduate in Agricultural Economics/ Agri- Business Management with good writing an...,"domestic, markets, research and analysis, analytical, research analyst, futures, commodity markets, experience"
MIS Analyst,Integreon,Mumbai,3-5 Yrs,3+ weeks ago,. A Bachelor s degree from an accredited university . Required Skills / Abilities: . Ab...,"Administration, Business analysis, Project management, Analytical, Billing, Workflow, MS Office, Business solutions"
Research Analyst,Axis Asset Management Company,Mumbai,3-5 Yrs,3+ weeks ago,"Proficient in financial, mathematical, and statistical techniques . What makes you a Gr...","Investment products, Business transformation, Mutual funds, Financial statement analysis, Asset management, Risk management, Equity Research Analyst, Portfolio management"
MIS Executive,Clirnet Services,Kolkata,1-6 Yrs,3+ weeks ago,Experience: . Min 1 year up to 4 Years .,"Analytical skills, Data analysis, Data management, MIS, power bi, MS Office, Business intelligence, Data warehousing"
O2C / Reporting Analyst,Dunnhumby,Gurugram,2-3 Yrs,3+ weeks ago,"Bachelor s degree in Finance, Accounting, Business, or a related fieldBringing 5+ years...","ERP, Automation, Financial reporting, Analytical, Billing, Business intelligence, Variance analysis, Operations"
MIS Executive,Vaibhav Global,Jaipur,1-6 Yrs,3+ weeks ago,VGL is also a Great Place to Work (GPTW) certified organization. Shop LC Overview: Shop...,"Renewable energy, Analytical, Social media, Online sales, SEZ, E-commerce, power bi, Advanced Excel"
Research Analyst,Archeron Group,Bengaluru,2-5 Yrs,3+ weeks ago,Candidates should posses a noteworthy quantitative analytical ability,"Stakeholder Engagement, Strategy implementation, Project management, Analytical, Business plan development, Research, Management, Research Analyst"
"Research Analyst- Chemicals, Materials and Nutrition",Frost & Sullivan,Mumbai,3-7 Yrs,3+ weeks ago,About Frost Sullivan: We ve spent more than 50 years guiding clients acro...,"Nutrition, Architecture, Analytical, Social media, Consulting, Manager Technology, Forecasting, Operations"
Research Analyst,Research Allied,Pune,1-6 Yrs,3+ weeks ago,"Adequate knowledge of data collection methods (polls, focus groups, surveys etc) . Stro...","Web analytics, Business research, Competitive analysis, Analytical, Data collection, Market research, MS Office, Research analysis"
Research Analyst,CRE Matrix,Mumbai,1-3 Yrs,3+ weeks ago,"Skills Required . Proficient with Excel, Powerpoint, SQL . 1-3 years of experience in d...","Analytical skills, Loans, Retail, Data analysis, Matrix, Machine learning, CRE, Research Analyst"
Research Analyst,Crisil,Mumbai,3-7 Yrs,3+ weeks ago,"Experience in consumption vertical, preferably in retail, ecommerce and consumer ...","Industry research, Market analysis, Retail, Consumer durables, E-commerce, Data analytics, Research Analyst, Research"
Mis Analyst,Chandigarh University,"Unnao, Kanpur, Lucknow",1-4 Yrs,3+ weeks ago,"Requirements: . Bachelors / Masters degree in Computer Science, Statistics, Mathematics...","Data analysis, Manager Quality Assurance, SAS, Data management, Analytical, Data collection, Manager Quality Control, SPSS"
MIS Executive,Bondada Engineering,Bengaluru,0-2 Yrs,3 weeks ago,. Education: Any Graduation. .,"Telecom, ERP, Data management, Process improvement, Analytical, Data collection, data integrity, Operations"
Research Analyst,Vyuhgenics India,Bengaluru,2-5 Yrs,3 weeks ago,"They should have been involved in client interactions, mentoring, travel to healthcare ...","Competitive Intelligence, Research Analysis, Secondary Research, Primary Research, Therapy, Biotechnology, Competitive Landscape, Generic"
Research Analyst - Valuations,Crisil,"Mumbai, Pune",1-5 Yrs,3 weeks ago,Our esteemed buy-side client is currently looking for skilled and experienced Analyst ...,"Data analysis, Due diligence, Bloomberg, Equity research, Financial analysis, Analytical, Venture capital, Financial modelling"
MIS & Taxation Executive,Routematic,Bengaluru,3-8 Yrs,3+ weeks ago,"Bachelor s degree in accounting, Finance, or a related field Proficiency in accounting ...","TDS, ERP, Taxation Executive, Excel, Financial reporting, MIS, Analytical, Taxation"
Research Analyst,Option Matrix,Hyderabad(Kondapur),1-3 Yrs,3+ weeks ago,"Conduct detailed secondary research on industries, technologies, markets, competitors,...","Communication Skills, Analytical & Critical Thinking, Data Collection, Attention To Detail, Market Research, Business Research, Data Interpretation, Data Analysis"
Research Analyst,Intent Market Research,Pune,3-4 Yrs,3+ weeks ago,Coordinate with team members to ensure timely delivery of tasks and milestones. Key Ski...,"Industry research, Data analysis, Primary research, Data modeling, Analytical, Market research, Business intelligence, Forecasting"
Research Analyst,Crisil,Mumbai,0-3 Yrs,3+ weeks ago,The candidate should be able to: . Analyzing and evaluating sectoral trends and events ...,"Industry research, Renewable energy, Analytical, Finance, Corporate, Transition, Research, Financial modelling"
Research Analyst - Commercial Diligence,Crisil,Mumbai,1-3 Yrs,3+ weeks ago,"Job Title Research Analyst Location Mumbai, India Working Model Hyb...","Equity research, Fixed income, Consulting, Market research, Actuarial, Investment banking, Asset management, Risk management"
Service Operation Analyst/MIS,Accolite Software India Pvt Ltd,Hyderabad,2-5 Yrs,3+ weeks ago,The candidate should be well versed / proficient with MS Office Applications like Excel...,"Operations Analyst, Excel, MIS, Analytical, Conditional formatting, MS Office, Management reporting, Microsoft"
Quant Research Analyst,East India Securities,Kolkata,1-5 Yrs,3+ weeks ago,Should be comfortable in applying advanced mathematics / statistics concepts to large d...,"deep learning, Analytical, Fixed income, Machine learning, market data, Corporate finance, Research, Research Analyst"
Research Analyst,CC COMMODITY INFO SERVICES LLP.,Ahmedabad,2-3 Yrs,3+ weeks ago,Experience: ?Fresher to 2yrs relevant experience?.Package: ?As per industry norms?.Inte...,"domestic, news, markets, research and analysis, analytical, surveys, research analyst, futures"
MIS Analyst,Max It Solutions,Chennai,1-2 Yrs,3+ weeks ago,Specialization : Consumer Banking Credit Analyst Business Analyst Data Processing. Exec...,"MIS reporting, Data validation, Data Processing Executive, SAS, Financial reporting, Analytical, Financial packages, Forecasting"
Research Analysts,Maction Consulting,Ahmedabad,1-4 Yrs,3+ weeks ago,Good with numbers . High attention to detail . Ability to distill large amounts of info...,"Quality improvement, Statistical analysis, Project management, Analytical, Consulting, Database, Power point presentation, SPSS"
Reporting & Analytics - Analyst,Goldman Sachs,Bengaluru,1-4 Yrs,3+ weeks ago,Bachelor s degree or equivalent military experience . Passion for delivering a great cu...,"Wealth management, Financial planning, Customer support, Customer service, Investment banking, Asset management, Investment management, Risk management"
"Specialist, Reporting Analyst",TTEC,Mumbai,2-4 Yrs,3+ weeks ago,"Generate, . update . and distribute daily, weekly, monthly, . quarterly . and yearly re...","Data analysis, Automation, tableau, Reporting Analyst, Social media, Manager Technology, power bi, Advanced Excel"
Research Analyst,Super Scholar,Mumbai,3-10 Yrs,3+ weeks ago,"Bachelors degree in Business, Economics, Statistics, or related fieldProven experience ...","Qualitative research, Data analysis, Time management, Analytical, Formulation, Market research, data integrity, Management"
Reporting Analyst,TTEC,Hyderabad,2-4 Yrs,3+ weeks ago,"Generate, . update . and distribute daily, weekly, monthly, . quarterly . and yearly re...","Data analysis, Automation, tableau, Reporting Analyst, Social media, Manager Technology, power bi, Advanced Excel"
Research Analyst,Staffice Global,Kolkata,5-12 Yrs,3+ weeks ago,Required Skills Sales Delivery,"Financial statements, Google Analytics, Primary research, Analytical, Market research, Business strategy, Research, Research Analyst"
Research Analyst,Axis Asset Management Company,Mumbai,6-10 Yrs,3+ weeks ago,. Postgraduate with 6-10 years of experience . Good Understanding of Equity markets and...,"Analytical skills, Business transformation, Bloomberg, Fund management, Mutual funds, Equity, Asset management, Research"
Research Analyst (Multiple Domains),The Insight Partners,Pune,3-8 Yrs,3+ weeks ago,Experience in efficient understanding client and project requirement and deliver accord...,"Procurement, MS Office suite, Senior Analyst, Analytical, Data collection, Market research, Market assessment, Research"
MIS Analyst,Credit Wise Capital Pvt. LTD.,Mumbai,2-7 Yrs,3+ weeks ago,"Would be directly reporting to the directors, and should also coordinate with th...","Computer science, Loans, Data analysis, NBFC, Underwriting, Consumer finance, Analytical, Portfolio management"
Research Analyst,MATT Engineering Equipment,Nagercoil,1-3 Yrs,3+ weeks ago,Requirements: Strong analytical skills and ability to interpret complex data sets. ...,"Analytical skills, Statistical analysis, Research Analyst, Research analysis, Statistics, Analytical, Analytical Skill, Research"
MIS Executive,Adbanao,Pune,2-5 Yrs,3+ weeks ago,Candidates should have 2- 5 years of working experience as an MIS Executive or in a sim...,"Data analysis, Automation, Excel, Data management, Analytical, Data analytics, data visualization, Macros"
Mis Executive,Chandigarh University,Mohali,4-9 Yrs,3+ weeks ago,"A bachelors degree in management information systems, computer science, or a related fi...","Data analysis, Data validation, Interpersonal skills, VLOOKUP, Analytical, data privacy, Conditional formatting, Troubleshooting"
Research Analyst,Crisil,"Mumbai, Pune",1-3 Yrs,3+ weeks ago,"The successful candidate should have experience in valuations and modeling, with a stro...","Data analysis, Due diligence, Bloomberg, Financial analysis, Analytical, Venture capital, Credit analysis, Equity valuation"
MIS Executive,Mtap Technologies,Gurugram,1-2 Yrs,3+ weeks ago,. Should be excellent in MS Excel . Should be able to handle large amount of data . Goo...,"Excel, Sales, Data management, Analytical, Billing, Powerpoint, Macros, Management reporting"
Reporting Analyst (Contractual),Hilti,Gurugram,0-4 Yrs,3+ weeks ago,"What do we offerYour responsibilities will be great and, with them, we ll give you the ...","Computer science, Data analysis, Business analytics, Analytical, Agile, Data quality, Information management, SQL"
MIS Executive,Edutest Solutions,Ahmedabad,3-5 Yrs,3+ weeks ago,"Hands on experience in advanced MS Excel features like: If analysis, Nested if, Vlook...","MIS reporting, PDF, Excel, VLOOKUP, Analytical, MIS Executive, Reporting, Analytics"
Senior Research Analyst - ICT,Data Bridge (DBMR),Pune,3-5 Yrs,3+ weeks ago,Assuming responsibility for end report in terms of quality and deadlines . Desired Prof...,"Computer science, Publishing, Networking, Analytical, Consulting, Market research, ICT, Client acquisition"
Research Analyst,Sapling Creations,Kozhikode,1-6 Yrs,3+ weeks ago,Experience in applied research or data management may be advantageous,"Data management, Communication management, Data modeling, Analytical, Analytical research, Customer retention, Research Analyst, Marketing communication"
Research Analyst,Ezyact,Hyderabad,0-3 Yrs,3+ weeks ago,EzyAct is looking for Research Analyst to join our dynamic team and embark on a rewardi...,"Quality orientation, Training, QA, Analytical, Genetics, Research, professional services, Management"
Research Analyst,Research Avenues,Gurugram,1-4 Yrs,3+ weeks ago,"Testing processes, policies, and protocols for efficiency and improvements . Research A...","Computer science, Data analysis, Operations research, Data management, Data modeling, Analytical, Customer retention, Research Analyst"
Research Analyst - Resume Dropbox,CapeStart,Nagercoil,0-4 Yrs,3+ weeks ago,"Relevant Background: Final semester students pursuing degrees in engineering, business ...","Analytical skills, Business administration, Data analysis, Interpersonal skills, Skill development, Data collection, Market research, Research"
Research Analyst,CC COMMODITY INFO SERVICES LLP.,Mumbai,0-2 Yrs,3+ weeks ago,The job involves research and analysis of commodity markets spot and futures as well as...,"markets, research and analysis, analytical, trackcommodity markets, spot, surveys, research analystmestic, futures"
MIS Analyst MS Access,Shemaroo Entertainment,Mumbai,1-5 Yrs,3+ weeks ago,The MIS Analyst will play a crucial role in analyzing viewership data across various p...,"Analytical skills, Root cause analysis, PDF, hsm, Data management, MS Access, Competitive analysis, KPI"
Research Analyst,Maction Consulting,Ahmedabad,1-4 Yrs,3+ weeks ago,Good with numbers High attention to detail Ability to distill large amounts of informat...,"Quality improvement, Statistical analysis, Project management, Analytical, Consulting, Database, SPSS, Research"
Research Analyst,Ideapoke,Bengaluru,2-4 Yrs,3+ weeks ago,MBA freshers are invited for this role,"Market analysis, Analytical, Data collection, Manager Technology, Competitive intelligence, Business modeling, New product development, Research Analyst"
Research Analyst,CC COMMODITY INFO SERVICES LLP.,Bengaluru,2-6 Yrs,3+ weeks ago,Post graduate in Agricultural Economics/ Agri- Business Management with good writing an...,"domestic, markets, analytical, management, research analyst, futures, commodity markets, analysis"
MIS Executive,Indovision Services,Mumbai,0-1 Yrs,3+ weeks ago,Bachelor s degree in BA / BCom or a related fieldThe ideal candidate should have a stro...,"Basic, Data analysis, Excel, VLOOKUP, Analytical, Advanced Excel, Management, Business operations"
Data Scientist,Leading Client,Bengaluru,7-12 Yrs,1 day ago,Experience 7+ Years . .,"time series analysis, python, sql coding, machine learning, r, data analytics, data analysis, natural language processing"
Apigee consultant,Leading Client,Karnataka,4-9 Yrs,1 day ago,We are looking for a skilled Apigee Consultant with 4 to 10 years of experienceExperien...,"project management, business strategy, business analysis, business development, corporate strategy, management consulting, program management, business analytics"
T&T - ET&P - SCNO - Analyst - Data Scientist,Deloitte Consulting,Bengaluru,1-7 Yrs,1 day ago,"Desired qualifications . Education: Bachelors degree in Computer Science, Software Engi...","Supply chain, Computer science, Operations research, Senior Analyst, Analytical, Network operations, Machine learning, Agile"
T&T - ET&P - SCNO -Consultant - Data Scientist,Deloitte Consulting,Mumbai,1-7 Yrs,1 day ago,"In addition to living our purpose, Consultant across our organization must strive to be...","Supply chain, Data analysis, Analytical, Machine learning, Manager Technology, Data quality, data visualization, Data mining"
Enabling Areas - IT - Deputy Manager - Data Scientist - NLP/Gen AI,Deloitte Consulting,Mumbai,1-7 Yrs,1 day ago,"Qualifications: . Masters or PhD degree in Computer Science, Engineering, Mathematics, ...","Computer science, Data analysis, orchestration, Neural networks, Analytical, Machine learning, System design, Research"
Data Scientist,Xoom,Bengaluru,2-5 Yrs,1 day ago,Job Summary We are seeking a highly analytical and detail-oriented Fr...,"Data analysis, metadata, Analytical, Diversity and Inclusion, Machine learning, Wellness, Fraud detection, fraud investigation"
S&T Assoc Manager - TM1 Developer,Pepsico,Hyderabad,7-12 Yrs,1 day ago,Overview PepsiCo is on a significant initiative of digitalization and standardization ...,"forecasting, sales, financial planning, revenue management, finance, soft skills, python, information technology"
Data Scientist - ML / NLP / AI / Gen-AI,Vakilsearch,Chennai,4-7 Yrs,1 day ago,"Qualifications: Bachelors or Masters degree in Computer Science, Data Science, Statisti...","python, data analytics, power bi, machine learning, sql, data analysis, natural language processing, scikit-learn"
Research Associate: Pharma Research Injecatable,Lupin,Pune,5-7 Yrs,1 day ago,"Perform characterization of peptides, nucleic acids-based (oligonucleotides) or other i...","Analytical chemistry, Test reporting, Pharma, Formulation, Pharmacy, GLP, Analytical instruments, Research Associate"
Data Scientist,NatWest Markets,Bengaluru,5-9 Yrs,1 day ago,You ll have atlease four years of experience with statistical modelling and machine lea...,"Computer science, Data analysis, Data management, Machine learning, Agile, Scrum, Business strategy, Analytics"
Consultant,Infor,Hyderabad,2-8 Yrs,1 day ago,"Skilled at providing in-depth analysis, the ability to provide resolution to client req...","human capital, Payroll, Business analysis, Data modeling, Analytical, Agile, Scheduling, Budgeting"
Associate,Amazon,Chennai,1-4 Yrs,1 day ago,The role requires the associate to be comfortable with rotational / night shift hours a...,"Data analysis, XML, Analytical, Quality audit, Workflow, Marketing operations, Troubleshooting, MS Office"
Consultant,Winfo Solutions,Hyderabad,5-10 Yrs,1 day ago,The ideal candidate must have at least 1 year of hands-on experience in Oracle Redwood ...,"Root cause analysis, HCM, Analytical, Cloud, Oracle BI, Gap analysis, Oracle core HR, Core HR"
Data Scientist,Digital Glyde,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,3+ weeks ago,"Ideal candidate should have a degree in a quantitative field mathematics, computer scie...","Data analysis, Operations research, Social science, Analytical, Report writing, MySQL, Cloud, Database"
GTM Analyst/Developer,Scalesdm India,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-6 Yrs,3+ weeks ago,"Design, develop, and maintain complex Salesforce solutions using advanced technologi...","Computer vision, Automation, Coding, Analytical, Javascript, System design, Management, microsoft"
Tableau Developer,Netlink Software,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-3 Yrs,3+ weeks ago,Netlink Software Pvt Ltd is looking for Tableau Developer to join our dynamic team and ...,"data warehousing, hibernate, dashboards, sql, plsql, spring, java, linux"
TABLEAU DEVELOPER,Diverse Lynx,Hyderabad,4-6 Yrs,3 weeks ago,Diverse Lynx is looking for TABLEAU DEVELOPER to join our dynamic team and embark on a ...,"data warehousing, hibernate, dashboards, sql, plsql, spring, java, linux"
Research Associate| Commodities and Energy Research | Critical Mineral,Wikilabs India,Greater Noida(Pari Chowk),2-5 Yrs,2 weeks ago,Work Experience and Skills: . 2-3 years of professional work experience with the govern...,"Modelling and Analytics, Competitive Research, Market Research, Financial Modelling, Market Forecasting, Research Analysis, Competitive Intelligence, Market Intelligence"
Analytics Digitization & Value Reporting Specialist,McCormick,Gurugram,3-8 Yrs,3+ weeks ago,"Proven experience in change management, quality assurance and measurements of stakehold...","Mining, Process automation, Automation, Data analysis, Change management, Manager Quality Assurance, Analytical, Process improvement"
Associate,R1 RCM,Gurugram,1-3 Yrs,2 weeks ago,Role ObjectiveWe are currently seeking a Associate - BI Analytics to contribute to Anal...,"report design, python, sql server, pandas, advanced excel, snowflake, data analysis, data analytics"
Growth consultant - VT Netzwelt,VT Netzwelt,Mohali,2-5 Yrs,3+ weeks ago,Assist in analyzing key performance indicators (KPIs) to identify growth opportuniti...,"Project development, Report generation, github, Web technologies, Competitive analysis, Analytical, Market research, E-commerce"
Growth Consultant,VT Netzwelt,Mohali,2-5 Yrs,3+ weeks ago,Recent graduates with a specialized degree such as an MBA or equivalent. This entry-lev...,"Project development, Report generation, github, Web technologies, Competitive analysis, Analytical, Market research, E-commerce"
LEC- Associate LEC- Associate,JPMorgan Chase Bank,Bengaluru,3-8 Yrs,2 weeks ago,"Bachelor s degree in Accounting, Finance or related business field . Required qualifica...","Financial statements, Regulatory reporting, Financial analysis, Accounting, Process improvement, Analytical, Legal, Advanced Excel"
Data Analytics and Reports Developer,Interactive Brokers,Mumbai,4-9 Yrs,3+ weeks ago,"Company Overview Interactive Brokers Group, Inc. (Nasdaq: IBKR) is a global financia...","Unix, Data analysis, Web analytics, Perl, Oracle, Digital marketing, Financial services, Team building"
Reporting specialist - Tableau,BMW Techworks India,"Chennai, Bengaluru",4-8 Yrs,3+ weeks ago,". Good analytical / problem solving skills, algorithms, logical thinkingExperience in m...","Data analysis, tableau, Data modeling, Analytical, Data quality, data visualization, Analytics, SQL coding"
Consultant,Grant Thornton India Pvt Ltd,Bengaluru,2-4 Yrs,3+ weeks ago,Should have hands on experience in Machine Learning Model and deep learning developmen...,"Data analysis, Analytical, MIS, Artificial Intelligence, Machine learning, Computer application, Data quality, SQL"
Developer FRS & OTBI,Overture Rede,Ahmedabad,2-4 Yrs,3+ weeks ago,US Shift . Key Responsibility Area: ( Specifies Key Result Areas for the Incumbent ) Ex...,"Oracle Apps, Excel, Financial reporting, GCP, Analytical, Machine learning, Regression analysis, Analytics"
Officer - MIS and Analytics,PCI India,Lucknow,3-5 Yrs,3+ weeks ago,"Qualification required : Master s degree in Demography, Statistics, IT, Public Health, ...","Procurement, Health insurance, Data analysis, Renewable energy, MIS, Data collection, SPSS, Analytics"
ESG Reporting Specialist,Cognitud,Gurugram,2-3 Yrs,3+ weeks ago,"You should have prior experience in ESG reporting or sustainability reporting, with exp...","Analytical skills, Career development, Data analysis, Environmental science, Compliance, Trend analysis, Data collection, Equity"
Developer,Traviyo,Noida,1-4 Yrs,3+ weeks ago,"Specialist in MS PowerPoint, Data Analytics . Good in quick problem solving and interpe...","Analytical skills, MIS reporting, Report generation, Basic, Excel, Sales, MIS, Data analytics"
Data Scientist,lightcast,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,4 days ago,"Bachelor s or Master s degree in Data Science, Statistics, Economics, Computer Science,...","Computer science, Prototype, Analytical, Market intelligence, Machine learning, Predictive modeling, Regression analysis, Apache"
Associate,Amazon,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,5 days ago,Flexibility in working in shifts and working hoursBachelors degree Experience with Micr...,"Business communication, Analytical skills, Root cause analysis, Quality standards, French, Web services, Catalog Associate, Internet research"
Process Associate,Kadamba Technologies,Tiruchirapalli,0-2 Yrs,6 days ago,Roles and ResponsibilitiesProvide analytical support to the team by analyzing data from...,"Sports Management, Cricket, Sports, Athletics, Score Analytics, Gaming, Analytics Reporting, Reporting"
Data Scientist-Artificial Intelligence,IBM,Bengaluru,5-7 Yrs,2 days ago,"Work with broader team to build, analyze and improve the AI solutions. You will also w...","algorithms, python, data analytics, tableau, ml, hive, data analysis, natural language processing"
"Data Scientist with EDA, Python, SQL and Business Analysis",Cognizant,Hyderabad,8-11 Yrs,2 days ago,Job SummaryWe are seeking a highly skilled Data Scientist with Business analysis with g...,"python, eda, data analysis, data management, modeling, analytical, data manipulation, query"
Associate,JPMorgan Chase Bank,Mumbai,4-9 Yrs,4 days ago,"Required qualifications, capabilities and skills Proficient in Microsoft Office (Excel...","Analytical skills, Automation, Data analysis, Excel, Coding, Time management, Investment banking, Asset management"
Tableau Developer,Metropolis Technologies,Bengaluru,1-4 Yrs,4 days ago,"Experience with cloud platforms like AWS is preferred, and AWS Cloud Certification is a...","Performance tuning, Data analysis, Automation, tableau, Publishing, Analytical, Data processing, data visualization"
Associate Expenses,Apollo Global Management,Mumbai,5-10 Yrs,5 days ago,We must never lose our focus and determination to be the best investors and most truste...,"Administration, Expense management, Analytical, Asset management, Investment management, Oracle, Forecasting, Variance analysis"
Gurugram Career Event- Sustainability Reporting Specialist,ExxonMobil,Bengaluru,5-10 Yrs,5 days ago,"Hi, Greetings from ExxonMobil!We are excited to share an opportunity with you.ExxonMob...","Esg Reporting, Ghg Emissions, Reporting And Analytics, Sustainability Reporting, reproting framework, Waste Management, Environment Management, Climate Change"
Record To Report Specialist,Omnicom Media Group,Hyderabad,5-9 Yrs,6 days ago,Candidate shall have the good knowledge on the upstream and downstream of the Intercomp...,"project management, analytical, formulas, accounting operations, accounting, media, microsoft, reconciliation"
Data Scientist,Barclays,Noida,1-6 Yrs,4 days ago,"With competitive benefits and opportunities for career advancement, Barclays is a great...","Analyst, Analytical, Machine learning, Service excellence, data visualization, Continuous improvement, Operations, SQL"
